Numero de radar;Type de radar;Date de mise en service;VMA ;Latitude; Longitude
0;ETD;31/10/2011 00:00;70;45.361;4.2526
1;ETD;31/10/2011 00:00;80;46.41334;4.436502
2;ETD;21/03/2012 00:00;80;46.61972;0.34503
3;ETD;28/03/2012 00:00;80;46.618;0.356
4;ETD;10/02/2012 00:00;80;48.054;6.587
5;ETD;30/07/2012 00:00;70;49.377654;6.09112
6;ETD;10/10/2011 00:00;80;45.4141;0.86307
7;ETD;17/02/2012 00:00;80;45.415;0.8791
8;ETD;28/03/2012 00:00;80;48.416;1.4759
9;ETD;10/02/2012 00:00;80;47.37244;0.65324
10;ETD;10/02/2012 00:00;80;47.32163;0.70358
11;ETD;07/03/2012 00:00;80;47.372853;0.653372
12;ETD;10/08/2012 00:00;80;47.593;0.7401
13;ETD;30/03/2012 00:00;80;48.108;1.891
14;ETD;02/05/2012 00:00;70;47.934802;1.930114
15;ETD;18/02/2013 00:00;80;48.977;2.4732
16;ETD;04/10/2013 00:00;80;48.997662;2.482158
17;ETD;28/02/2013 00:00;90;48.173;3.3941
18;ETD;05/12/2011 00:00;80;47.792;3.6229
19;ETD;05/12/2011 00:00;90;48.176;3.1904
20;ETD;22/03/2012 00:00;80;45.796074;4.934379
21;ETD;29/05/2012 00:00;80;48.332771;4.093514
22;ETD;07/06/2013 00:00;90;43.736;4.4634
23;ETD;24/03/2014 00:00;90;43.937;4.604
24;ETD;05/02/2013 00:00;80;43.584;1.4965
25;ETD;05/02/2013 00:00;80;43.634;1.421
26;ETD;07/03/2012 00:00;80;43.686;-0.1748
27;ETD;15/06/2012 00:00;90;45.243;5.8603
28;ETD;26/10/2012 00:00;50;47.797;1.0737
29;ETD;22/07/2013 00:00;90;47.343933;-0.066891
30;ETD;16/05/2012 00:00;80;48.643;5.066
31;ETD;04/07/2013 00:00;90;50.55145;3.06023
32;ETD;05/05/2012 00:00;90;50.64014;2.9372
33;ETD;06/01/2014 00:00;90;50.85025;1.72379
34;ETD;10/03/2014 00:00;50;50.7029;1.62584
35;ETD;10/08/2012 00:00;50;48.339;7.5412
36;ETD;22/03/2012 00:00;80;45.777;4.9715
37;ETD;04/10/2013 00:00;90;46.734;4.8358
38;ETD;14/10/2013 00:00;90;46.73369;4.83553
39;ETD;13/12/2013 00:00;70;48.903;2.0053
40;ETD;15/03/2013 00:00;90;48.778;2.2135
41;ETD;10/08/2012 00:00;80;48.506;1.8357
42;ETD;09/10/2012 00:00;80;48.798458;1.772916
43;ETD;12/11/2013 00:00;80;43.999;1.3646
44;ETD;26/10/2012 00:00;90;48.142;4.6167
45;ETD;21/02/2013 00:00;80;43.656;4.6519
46;ETD;25/03/2013 00:00;90;43.404368;5.341811
47;ETD;02/05/2012 00:00;90;45.268816;3.202271
48;ETD;02/05/2012 00:00;90;45.175;3.1705
49;ETD;10/08/2012 00:00;90;45.372;1.5736
50;ETD;01/10/2012 00:00;90;45.5273;2.339
51;ETD;05/08/2013 00:00;80;47.50655;6.83185
52;ETD;22/04/2014 00:00;80;47.50626;6.83206
53;ETD;21/03/2012 00:00;80;48.18;1.3748
54;ETD;11/04/2012 00:00;80;48.751;1.4536
55;ETD;28/03/2012 00:00;80;48.454;1.4482
56;ETD;23/01/2013 00:00;90;46.605;1.5017
57;ETD;25/06/2012 00:00;90;47.116024;0.597417
58;ETD;23/01/2013 00:00;90;47.415;0.7295
59;ETD;13/02/2013 00:00;80;47.165972;-1.522873
60;ETD;31/01/2014 00:00;90;47.767595;1.568362
61;ETD;16/05/2012 00:00;90;44.266;0.2796
62;ETD;17/09/2012 00:00;90;48.73475;-1.29568
63;ETD;21/03/2012 00:00;80;48.277;5.1119
64;ETD;19/06/2012 00:00;90;48.783;0.318
65;ETD;04/11/2013 00:00;70;48.589;7.7303
66;ETD;22/02/2013 00:00;80;45.585311;5.907693
67;ETD;25/06/2012 00:00;80;45.56795;5.94276
68;ETD;03/12/2012 00:00;90;46.075;5.9057
69;ETD;19/06/2012 00:00;80;49.99;3.0073
70;ETD;17/09/2012 00:00;80;49.658;2.7086
71;ETD;29/05/2012 00:00;80;49.951;1.942
72;ETD;26/10/2012 00:00;90;50.121;1.7958
73;ETD;17/09/2012 00:00;80;49.957;2.8766
74;ETD;29/06/2012 00:00;80;45.849;1.2761
75;ETD;02/12/2013 00:00;90;48.16363;5.70697
76;ETD;05/08/2013 00:00;80;48.609;2.3333
77;ETD;05/08/2013 00:00;80;48.609;2.3332
78;ETD;07/06/2013 00:00;80;49.035;2.4873
79;ETD;23/01/2013 00:00;80;49.060959;2.3584
80;ETD;11/02/2013 00:00;80;47.165;-1.5225
81;ETD;14/02/2014 00:00;80;47.253115;-1.477797
82;ETD;10/08/2012 00:00;70;45.6177;0.10097
83;ETD;15/07/2013 00:00;70;45.670924;0.138358
84;ETD;17/09/2012 00:00;80;46.21595;1.722814
85;ETD;07/01/2013 00:00;80;46.192479;1.953377
86;ETD;19/06/2012 00:00;80;46.761;-1.4307
87;ETD;04/07/2013 00:00;90;50.523;3.0409
88;ETD;25/10/2013 00:00;70;43.732699;7.295554
89;ETD;16/12/2013 00:00;70;43.797;7.4834
90;ETD;25/10/2013 00:00;80;47.283681;2.190504
91;ETD;20/03/2013 00:00;80;44.744;-0.7043
92;ETD;12/04/2013 00:00;80;44.593;-0.843
93;ETD;24/07/2013 00:00;90;44.97754;-0.43216
94;ETD;15/07/2013 00:00;90;49.223067;2.642181
95;ETD;09/09/2013 00:00;80;49.087861;2.732704
96;ETD;25/10/2013 00:00;90;45.824527;4.918214
97;ETD;14/02/2013 00:00;80;45.731;4.9788
98;ETD;11/02/2013 00:00;70;45.8919;4.37018
99;ETD;11/02/2013 00:00;50;46.191;-0.0572
100;ETD;14/10/2013 00:00;80;48.625;2.3604
101;ETD;21/12/2012 00:00;50;47.633;6.1594
102;ETD;12/11/2013 00:00;80;47.251324;-1.476574
103;ETD;12/11/2013 00:00;80;45.031;-0.4199
104;ETD;02/09/2013 00:00;80;48.647;4.8641
105;ETD;13/03/2014 00:00;80;49.364247;3.344924
106;ETD;13/03/2014 00:00;80;49.364062;3.345087
107;ETD;14/02/2014 00:00;80;49.72738;4.42786
108;ETD;02/12/2013 00:00;80;49.753;5.0284
109;ETD;21/02/2013 00:00;80;46.199;-1.0354
110;ETD;21/02/2013 00:00;80;46.126;-1.106
111;ETD;18/03/2013 00:00;80;45.3;-0.2388
112;ETD;30/09/2013 00:00;80;49.431253;2.810755
113;ETD;04/10/2013 00:00;80;49.249271;2.481997
114;ETD;13/05/2013 00:00;80;48.146;7.3689
115;ETD;18/02/2013 00:00;50;46.894;4.8527
116;ETD;08/08/2013 00:00;80;43.909;1.7595
